SurfaceR,TypeR,VegetationR,UseR,FishingR,AcessR,RoadDistanceR,BuildingR,PollutionR,ShoreR,Green frogs,Brown frogs
2400,a,0,3,4,75,1,1,0,natural,1,0
115000,a,0,3,4,100,0,1,0,natural,1,1
40000,a,1,3,4,100,1,1,0,natural,1,1
300,a,0,3,3,50,0,0,0,natural,1,1
1500,a,0,3,0,25,0,0,0,natural,1,0
4000,a,0,3,4,100,2,1,0,natural,1,1
4100,a,1,3,3,100,0,1,0,natural,1,1
2300,a,1,1,3,100,0,0,0,natural,1,1
1500,a,1,3,3,100,2,2,0,natural,1,1
300,a,3,0,0,100,2,1,0,natural,1,1
15000,a,2,3,3,100,0,1,0,natural,1,1
1700,a,3,0,0,25,0,0,0,natural,1,1
2500,a,3,0,0,75,0,0,0,natural,1,1
2400,a,2,0,1,100,1,1,0,natural,1,1
300,h,3,0,0,100,1,1,0,natural,1,1
2600,a,2,3,2,50,0,1,0,natural,1,1
600,a,4,0,0,50,0,0,0,natural,0,1
2000,a,3,0,0,50,0,0,0,natural,1,1
26000,a,1,3,4,100,1,2,0,natural,1,1
350,a,0,3,3,100,1,1,0,natural,1,1
200,a,3,0,0,50,1,1,1,concrete,1,1
2300,a,2,0,0,100,2,1,0,natural,1,1
300,j,1,0,0,100,1,1,2,natural,0,1
600,d,2,3,2,100,2,2,0,natural,1,1
300,h,3,0,0,100,1,2,0,natural,0,1
1400,a,1,0,0,100,5,5,0,natural,1,1
3000,a,3,0,0,100,5,2,0,natural,1,1
300,j,1,0,0,100,5,5,0,natural,0,1
2300,a,1,3,3,50,1,0,0,natural,1,1
2600,a,2,0,0,50,0,0,0,natural,1,1
300,i,1,0,0,100,2,0,0,natural,0,1
300,a,3,0,0,25,0,0,0,natural,1,1
22000,a,4,0,0,100,0,0,0,natural,1,1
300,h,3,0,0,100,2,0,0,natural,0,1
300,h,4,0,0,100,5,5,0,natural,0,1
1000,a,3,0,0,100,0,1,0,natural,1,1
300,j,1,0,0,100,0,1,0,natural,0,1
300,j,1,0,0,100,9,5,0,natural,0,1
1100,a,3,0,0,100,0,0,0,natural,0,1
1000,a,4,0,0,100,1,1,0,natural,1,0
300,i,2,0,0,75,0,2,0,natural,0,1
1000,i,2,0,0,75,1,2,0,natural,0,1
1100,d,0,3,3,100,5,1,0,concrete,0,0
2500,a,4,0,0,100,5,1,0,natural,1,1
4000,a,1,3,2,80,1,1,0,natural,1,1
200,h,3,0,0,100,1,2,0,natural,0,1
350,a,0,1,3,100,1,1,0,natural,1,1
4000,h,4,0,0,100,1,1,0,natural,0,1
300,i,2,0,0,100,5,5,0,natural,1,1
500,a,4,0,0,100,5,5,0,natural,1,1
300,h,3,0,0,100,1,1,0,natural,0,1
