SurfaceR,TypeR,VegetationR,UseR,FishingR,AcessR,RoadDistanceR,BuildingR,PollutionR,ShoreR,Green frogs,Brown frogs
29000,0,2,3,3,100,2,0,0,1,1,1
8250,0,3,0,0,100,1,2,0,1,1,1
250,3,1,0,0,100,2,5,0,1,1,1
80000,0,1,3,4,100,2,2,0,1,1,1
300,7,1,0,0,100,1,1,0,1,0,1
500000,0,3,3,3,75,1,1,0,1,1,1
450,0,1,0,1,25,1,1,0,1,1,1
300,7,0,0,0,100,0,1,0,1,0,1
50,0,1,0,0,50,0,0,0,1,0,1
50,0,2,0,0,100,9,5,0,1,1,1
8300,0,2,3,3,100,2,2,0,1,1,1
1800,0,0,3,2,100,1,2,0,1,1,1
150,0,1,0,1,100,0,1,0,1,1,1
500,0,3,0,0,75,0,1,0,1,1,1
900,0,1,3,2,100,2,2,0,1,1,1
300,7,1,0,0,100,1,1,0,1,0,1
300,7,1,0,0,100,1,1,0,1,0,1
300,7,1,1,0,100,1,1,0,1,0,1
3000,0,3,0,1,100,5,5,0,1,1,1
450,0,1,3,3,100,5,2,0,1,1,1
300,7,1,0,0,100,5,5,0,1,1,0
200,2,2,3,0,100,1,1,0,1,1,1
700,0,0,3,2,100,1,1,0,1,1,1
300,6,1,0,0,100,1,1,0,1,0,1
300,5,2,0,0,50,2,5,0,1,0,1
300,7,1,0,0,100,0,2,0,1,0,0
300,7,1,0,0,100,1,1,0,1,0,0
200,0,1,0,0,100,1,1,0,1,1,1
350,0,2,0,0,100,1,1,0,1,1,1
300,7,1,0,0,100,5,5,0,1,0,0
1000,5,1,0,0,100,2,9,0,1,0,1
100,0,1,0,0,100,9,9,0,1,0,1
300,7,1,0,0,100,2,5,0,1,0,0
6300,0,0,0,0,100,2,1,0,1,1,1
3400,1,0,0,0,75,1,1,0,1,1,0
2400,0,0,3,4,75,1,1,0,1,1,0
115000,0,0,3,4,100,0,1,0,1,1,1
40000,0,1,3,4,100,1,1,0,1,1,1
300,0,0,3,3,50,0,0,0,1,1,1
1500,0,0,3,0,25,0,0,0,1,1,0
4000,0,0,3,4,100,2,1,0,1,1,1
4100,0,1,3,3,100,0,1,0,1,1,1
2300,0,1,1,3,100,0,0,0,1,1,1
1500,0,1,3,3,100,2,2,0,1,1,1
300,0,3,0,0,100,2,1,0,1,1,1
15000,0,2,3,3,100,0,1,0,1,1,1
1700,0,3,0,0,25,0,0,0,1,1,1
2500,0,3,0,0,75,0,0,0,1,1,1
2400,0,2,0,1,100,1,1,0,1,1,1
300,5,3,0,0,100,1,1,0,1,1,1
2600,0,2,3,2,50,0,1,0,1,1,1
600,0,4,0,0,50,0,0,0,1,0,1
2000,0,3,0,0,50,0,0,0,1,1,1
26000,0,1,3,4,100,1,2,0,1,1,1
350,0,0,3,3,100,1,1,0,1,1,1
200,0,3,0,0,50,1,1,1,0,1,1
2300,0,2,0,0,100,2,1,0,1,1,1
300,7,1,0,0,100,1,1,2,1,0,1
600,2,2,3,2,100,2,2,0,1,1,1
300,5,3,0,0,100,1,2,0,1,0,1
1400,0,1,0,0,100,5,5,0,1,1,1
3000,0,3,0,0,100,5,2,0,1,1,1
300,7,1,0,0,100,5,5,0,1,0,1
2300,0,1,3,3,50,1,0,0,1,1,1
2600,0,2,0,0,50,0,0,0,1,1,1
300,6,1,0,0,100,2,0,0,1,0,1
300,0,3,0,0,25,0,0,0,1,1,1
22000,0,4,0,0,100,0,0,0,1,1,1
300,5,3,0,0,100,2,0,0,1,0,1
300,5,4,0,0,100,5,5,0,1,0,1
1000,0,3,0,0,100,0,1,0,1,1,1
300,7,1,0,0,100,0,1,0,1,0,1
300,7,1,0,0,100,9,5,0,1,0,1
1100,0,3,0,0,100,0,0,0,1,0,1
1000,0,4,0,0,100,1,1,0,1,1,0
300,6,2,0,0,75,0,2,0,1,0,1
1000,6,2,0,0,75,1,2,0,1,0,1
1100,2,0,3,3,100,5,1,0,0,0,0
2500,0,4,0,0,100,5,1,0,1,1,1
4000,0,1,3,2,80,1,1,0,1,1,1
200,5,3,0,0,100,1,2,0,1,0,1
350,0,0,1,3,100,1,1,0,1,1,1
4000,5,4,0,0,100,1,1,0,1,0,1
300,6,2,0,0,100,5,5,0,1,1,1
500,0,4,0,0,100,5,5,0,1,1,1
300,5,3,0,0,100,1,1,0,1,0,1
