,Label,Text
1844,ham,Super da:)good replacement for murali
2465,ham,They will pick up and drop in car.so no problem..
1517,ham,I need to come home and give you some good lovin...
888,ham,Y dun cut too short leh. U dun like ah? She failed. She's quite sad.
4086,spam,"Orange brings you ringtones from all time Chart Heroes, with a free hit each week! Go to Ringtones & Pics on wap. To stop receiving these tips reply STOP."
28,ham,"I'm back &amp; we're packing the car now, I'll let you know if there's room"
5571,ham,Rofl. Its true to its name
5211,ham,It is only yesterday true true.
5241,ham,Its a part of checking IQ
3627,ham,Yeah right! I'll bring my tape measure fri!
3830,ham,"Sure, I'll see if I can come by in a bit"
142,ham,"Sir, Waiting for your mail."
4914,spam,"Goal! Arsenal 4 (Henry, 7 v Liverpool 2 Henry scores with a simple shot from 6 yards from a pass by Bergkamp to give Arsenal a 2 goal margin after 78 mins."
557,ham,Having lunch:)you are not in online?why?
4001,spam,"This is the 2nd time we have tried to contact u. U have won the £400 prize. 2 claim is easy, just call 087104711148 NOW! Only 10p per minute. BT-national-rate"
169,ham,Great escape. I fancy the bridge but needs her lager. See you tomo 
31,ham,Yeah he got in at 2 and was v apologetic. n had fallen out and she was actin like spoilt child and he got caught up in that. Till 2! But we won't go there! Not doing too badly cheers. You? 
3785,ham,Dear got train and seat mine lower seat
3525,ham,Yeah that'd pretty much be the best case scenario
855,ham,Stop the story. I've told him i've returned it and he's saying i should not re order it.
1312,ham,U r too much close to my heart. If u go away i will be shattered. Plz stay with me.
4418,ham," says that he's quitting at least5times a day so i wudn't take much notice of that. Nah, she didn't mind. Are you gonna see him again? Do you want to come to taunton tonight? U can tell me all about !"
3169,ham,Ugh hopefully the asus ppl dont randomly do a reformat.
5086,ham,Omg if its not one thing its another. My cat has worms :/ when does this bad day end?
4761,ham,I'm home. Doc gave me pain meds says everything is fine.
4111,ham,"Yo, you gonna still be in stock tomorrow/today? I'm trying to get a dubsack"
666,ham,En chikku nange bakra msg kalstiya..then had tea/coffee?
2195,ham,Hi my email address has changed now it is 
2036,ham,Simply sitting and watching match in office..
2344,ham,"1) Go to write msg 2) Put on Dictionary mode 3)Cover the screen with hand, 4)Press  &lt;#&gt; . 5)Gently remove Ur hand.. Its interesting..:)"
2955,ham,"Think i might have to give it a miss. Am teaching til twelve, then have lecture at two. Damn this working thing."
3214,ham,What's ur pin?
2145,spam,FreeMsg: Hey - I'm Buffy. 25 and love to satisfy men. Home alone feeling randy. Reply 2 C my PIX! QlynnBV Help08700621170150p a msg Send stop to stop txts
3254,ham,K:)k..its good:)when are you going?
3997,ham,We'll you pay over like  &lt;#&gt; yrs so its not too difficult
5083,ham,Aiya we discuss later lar... Pick ü up at 4 is it?
1943,ham,K...k:)why cant you come here and search job:)
1083,ham,Send to someone else :-)
1139,ham,What * u wearing?
1026,ham,I have a sore throat. It's scratches when I talk
2997,ham,They released vday shirts and when u put it on it makes your bottom half naked instead of those white underwear.
3979,ham,Reason is if the team budget is available at last they buy the unsold players for at base rate..
4371,spam,Do you want a new Video handset? 750 any time any network mins? UNLIMITED TEXT? Camcorder? Reply or Call now 08000930705 for del Sat AM
3237,ham,"Aight text me when you're back at mu and I'll swing by, need somebody to get the door for me"
4593,ham,Right it wasnt you who phoned it was someone with a number like yours!
4343,ham,Ha! I wouldn't say that I just didn't read anything into way u seemed. I don't like 2 be judgemental....i save that for fridays in the pub!
3589,ham,If you were/are free i can give. Otherwise nalla adi entey nattil kittum
3067,spam,Get a brand new mobile phone by being an agent of The Mob! Plus loads more goodies! For more info just text MAT to 87021.
3086,ham,In da car park 
4656,ham,Our Prasanth ettans mother passed away last night. Just pray for her and family.
148,ham,Ummma.will call after check in.our life will begin from qatar so pls pray very hard.
4881,ham,alright tyler's got a minor crisis and has to be home sooner than he thought so be here asap
4133,ham,Hi baby ive just got back from work and i was wanting to see u allday! I hope i didnt piss u off on the phone today. If u are up give me a call xxx
2615,ham,"Sir, hope your day is going smoothly. i really hoped i wont have to bother you about this. I have some bills that i can't settle this month. I am out of all extra cash. I know this is a challenging time for you also but i have to let you know."
2658,ham,Dai  &lt;#&gt;  naal eruku.
160,spam,You are a winner U have been specially selected 2 receive £1000 cash or a 4* holiday (flights inc) speak to a live operator 2 claim 0871277810810
4842,ham,"Hmmm.... Mayb can try e shoppin area one, but forgot e name of hotel..."
408,ham,Hello! Good week? Fancy a drink or something later?
1461,ham,"Yalru lyfu astne chikku.. Bt innu mundhe lyf ali halla ke bilo (marriage)program edhae, so lyf is nt yet ovr chikku..ali vargu lyfu meow meow:-D"
3430,ham,I don't know jack shit about anything or i'd say/ask something helpful but if you want you can pretend that I did and just text me whatever in response to the hypotheticalhuagauahahuagahyuhagga
2384,ham,Your pussy is perfect!
4671,ham,"I didnt get ur full msg..sometext is missing, send it again"
302,ham,"Shit that is really shocking and scary, cant imagine for a second. Def up for night out. Do u think there is somewhere i could crash for night, save on taxi?"
4132,ham,"Its Ur luck to Love someone. Its Ur fortune to Love the one who Loves U. But, its a miracle to Love a person who can't Love anyone except U... Gud nyt..."
2285,ham,"Velly good, yes please!"
1375,spam,"500 New Mobiles from 2004, MUST GO! Txt: NOKIA to No: 89545 & collect yours today!From ONLY £1 www.4-tc.biz 2optout 087187262701.50gbp/mtmsg18 TXTAUCTION"
4035,ham,Wot u up 2? Thout u were gonna call me!! Txt bak luv K
1215,ham,I'll text now! All creepy like so he won't think that we forgot
2156,ham,What year. And how many miles.
654,ham,Fine i miss you very much.
1384,ham,Please reserve ticket on saturday eve from chennai to thirunelvali and again from tirunelvali to chennai on sunday eve...i already see in net..no ticket available..i want to book ticket through tackle ..
2561,ham,Are you still getting the goods.
1541,ham,K come to nordstrom when you're done
2568,ham,I dont want to hear anything
607,spam,XCLUSIVE@CLUBSAISAI 2MOROW 28/5 SOIREE SPECIALE ZOUK WITH NICHOLS FROM PARIS.FREE ROSES 2 ALL LADIES !!! info: 07946746291/07880867867 
1116,ham,So lets make it saturday or monday as per convenience.
1219,ham,K..k..i'm also fine:)when will you complete the course?
4144,spam,"In The Simpsons Movie released in July 2007 name the band that died at the start of the film? A-Green Day, B-Blue Day, C-Red Day. (Send A, B or C)"
1877,ham,Watching tv now. I got new job :)
4091,spam,We tried to call you re your reply to our sms for a video mobile 750 mins UNLIMITED TEXT + free camcorder Reply of call 08000930705 Now
1944,ham,I got lousy sleep. I kept waking up every 2 hours to see if my cat wanted to come in. I worry about him when its cold :(
4476,ham,We will meet soon princess! Ttyl!
3639,spam,"Customer service announcement. We recently tried to make a delivery to you but were unable to do so, please call 07090298926 to re-schedule. Ref:9307622"
4016,spam,You will be receiving this week's Triple Echo ringtone shortly. Enjoy it!
4351,ham,Yes. Rent is very expensive so its the way we save.
5308,ham,I'm coming back on Thursday. Yay. Is it gonna be ok to get the money. Cheers. Oh yeah and how are you. Everything alright. Hows school. Or do you call it work now
2891,ham,Shuhui has bought ron's present it's a swatch watch...
3434,ham,"Christmas is An occasion that is Celebrated as a Reflection of UR... Values..., Desires..., Affections...&amp; Traditions.... Have an ideal Christmas..."
1038,ham,"naughty little thought: 'its better to flirt, flirt n flirt, rather than loving someone n gettin hurt, hurt n hurt...:-) Gud nyt"
3076,ham,Take us out shopping and Mark will distract Isaiah.=D
3747,ham,I'm not. She lip synced with shangela.
3478,ham,I got it before the new year cos yetunde said she wanted to surprise you with it but when i didnt see money i returned it mid january before the  &lt;#&gt; day return period ended.
1448,ham,Dont give a flying monkeys wot they think and I certainly dont mind. Any friend of mine and all that!
1149,ham,I'm not driving... Raining! Then i'll get caught at e mrt station lor.
4665,ham,Mum not going robinson already.
1577,ham,No. To be nosy I guess. Idk am I over reacting if I'm freaked?
480,ham,When're you guys getting back? G said you were thinking about not staying for mcr
4235,ham,Now only i reached home. . . I am very tired now. . I will come tomorro
638,ham,When ü login dat time... Dad fetching ü home now?
4205,ham,How are you enjoying this semester? Take care brother.
3928,ham,Lol ... I really need to remember to eat when I'm drinking but I do appreciate you keeping me company that night babe *smiles*
5176,ham,Company is very good.environment is terrific and food is really nice:)
2653,ham,No need for the drug anymore.
2411,ham,Ok... Thanx... Gd nite 2 ü too...
815,spam,"U were outbid by simonwatson5120 on the Shinco DVD Plyr. 2 bid again, visit sms. ac/smsrewards 2 end bid notifications, reply END OUT"
1455,ham,Can ü all decide faster cos my sis going home liao..
2063,ham,Is there any training tomorrow?
5155,ham,MY NEW YEARS EVE WAS OK. I WENT TO A PARTY WITH MY BOYFRIEND. WHO IS THIS SI THEN HEY
189,ham,Have you got Xmas radio times. If not i will get it now
3371,ham,Most of the tiime when i don't let you hug me it's so i don't break into tears.
3394,ham,Ok thanx...
704,ham,"Thats a bit weird, even ?- where is the do supposed to be happening? But good idea, sure they will be in pub!"
1271,ham,"Sorry chikku, my cell got some problem thts y i was nt able to reply u or msg u.."
4903,spam,* FREE* POLYPHONIC RINGTONE Text SUPER to 87131 to get your FREE POLY TONE of the week now! 16 SN PoBox202 NR31 7ZS subscription 450pw
2147,ham,So can collect ur laptop?
30,ham,"Wait that's still not all that clear, were you not sure about me being sarcastic or that that's why x doesn't want to live with us"
3764,ham,K.i will send in  &lt;#&gt;  min:)
4515,ham,"Sure, whenever you show the fuck up &gt;:("
4312,ham,It so happens that there r 2waxsto do wat you want. She can come and ill get her medical insurance. And she'll be able to deliver and have basic care. I'm currently shopping for the right medical insurance for her. So just give me til friday morning. Thats when i.ll see the major person that can guide me to the right insurance.
4047,spam,Win a £1000 cash prize or a prize worth £5000
2149,ham,I will once i get home
217,ham,Tired. I haven't slept well the past few nights.
2580,ham,I dunno until when... Lets go learn pilates...
2711,spam,Hope you enjoyed your new content. text stop to 61610 to unsubscribe. help:08712400602450p Provided by tones2you.co.uk
1,ham,Ok lar... Joking wif u oni...
4584,spam,"For ur chance to win a £250 wkly shopping spree TXT: SHOP to 80878. T's&C's www.txt-2-shop.com custcare 08715705022, 1x150p/wk"
3763,spam,FREE for 1st week! No1 Nokia tone 4 ur mob every week just txt NOKIA to 8007 Get txting and tell ur mates www.getzed.co.uk POBox 36504 W45WQ norm150p/tone 16+
2833,ham,Its normally hot mail. Com you see!
5376,ham,I don't want you to leave. But i'm barely doing what i can to stay sane. fighting with you constantly isn't helping.
150,ham,Sindu got job in birla soft ..
3932,ham,Nooooooo I'm gonna be bored to death all day. Cable and internet outage.
133,ham,First answer my question.
2512,ham,Er yep sure. Props?
5555,ham,Yeh. Indians was nice. Tho it did kane me off a bit he he. We shud go out 4 a drink sometime soon. Mite hav 2 go 2 da works 4 a laugh soon. Love Pete x x
2157,ham,Hey cutie. How goes it? Here in WALES its kinda ok. There is like hills and shit but i still avent killed myself. 
2959,spam,U have a secret admirer. REVEAL who thinks U R So special. Call 09065174042. To opt out Reply REVEAL STOP. 1.50 per msg recd. Cust care 07821230901
3836,ham,I'm thinking that chennai forgot to come for auction..
3651,ham,"We are hoping to get away by 7, from Langport. You still up for town tonight?"
2857,ham,"Japanese Proverb: If one Can do it, U too Can do it, If none Can do it,U must do it Indian version: If one Can do it, LET HIM DO it.. If none Can do it,LEAVE it!! And finally Kerala version: If one can do it, Stop him doing it.. If none can do it, Make a strike against it ..."
4715,ham,Oops i thk i dun haf enuff... I go check then tell ü..
2972,ham,"Height of Confidence: All the Aeronautics professors wer calld &amp; they wer askd 2 sit in an aeroplane. Aftr they sat they wer told dat the plane ws made by their students. Dey all hurried out of d plane.. Bt only 1 didnt move... He said:""if it is made by my students,this wont even start........ Datz confidence.."
4836,ham,"OH RITE. WELL IM WITH MY BEST MATE PETE, WHO I WENT OUT WITH 4 A WEEK+ NOW WERE 2GEVA AGAIN. ITS BEEN LONGER THAN A WEEK."
1752,ham,* Was thinking about chuckin ur red green n black trainners 2 save carryin them bac on train
3788,ham,WHORE YOU ARE UNBELIEVABLE.
3033,ham,Jokin only lar... :-) depends on which phone my father can get lor...
608,ham,what I meant to say is cant wait to see u again getting bored of this bridgwater banter
4821,spam,Check Out Choose Your Babe Videos @ sms.shsex.netUN fgkslpoPW fgkslpo
4053,ham,"Ya ok, then had dinner?"
4779,ham,U R THE MOST BEAUTIFUL GIRL IVE EVER SEEN. U R MY BABY COME AND C ME IN THE COMMON ROOM
5356,ham,Tell me something. Thats okay.
2935,ham,Yup n her fren lor. I'm meeting my fren at 730.
4659,ham,This message is from a great Doctor in India:-): 1) Do not drink APPY FIZZ. It contains Cancer causing age
520,ham,Usually the person is unconscious that's in children but in adults they may just behave abnormally. I.ll call you now
318,ham,"Not really dude, have no friends i'm afraid :("
3464,ham,i am seeking a lady in the street and a freak in the sheets. Is that you?
2542,ham,I dont. Can you send it to me. Plus how's mode.
928,ham,K:)i will give my kvb acc details:)
165,spam,"BangBabes Ur order is on the way. U SHOULD receive a Service Msg 2 download UR content. If U do not, GoTo wap. bangb. tv on UR mobile internet/service menu"
4895,ham,Convey my regards to him
3567,ham,Its ok..come to my home it vl nice to meet and v can chat..
2034,ham,IM GONNA MISS U SO MUCH
5385,ham,How do friends help us in problems? They give the most stupid suggestion that Lands us into another problem and helps us forgt the previous problem
628,ham,Yup i thk they r e teacher said that will make my face look longer. Darren ask me not 2 cut too short.
3911,ham,She.s good. She was wondering if you wont say hi but she.s smiling now. So how are you coping with the long distance
4076,ham,"God picked up a flower and dippeditinaDEW, lovingly touched itwhichturnedinto u, and the he gifted tomeandsaid,THIS FRIEND IS 4U"
4933,ham,Match started.india  &lt;#&gt;  for 2
4251,ham,How much for an eighth?
1458,spam,CLAIRE here am havin borin time & am now alone U wanna cum over 2nite? Chat now 09099725823 hope 2 C U Luv CLAIRE xx Calls£1/minmoremobsEMSPOBox45PO139WA
3646,spam,wamma get laid?want real doggin locations sent direct to your mobile? join the UKs largest dogging network. txt dogs to 69696 now!nyt. ec2a. 3lp £1.50/msg.
1252,spam,Please CALL 08712402779 immediately as there is an urgent message waiting for you
3842,ham,Howz pain.it will come down today.do as i said ystrday.ice and medicine.
873,ham,I'll text you when I drop x off
1744,ham,I love to wine and dine my lady!
3285,ham,ALRITE SAM ITS NIC JUST CHECKIN THAT THIS IS UR NUMBER-SO IS IT?T.B*
3011,ham,Imagine Life WITHOUT ME... see.. How fast u are searching me?Don't worry.. l'm always there To disturb U.. Goodnoon..:)
3581,ham,"Have a lovely night and when you wake up to see this message, i hope you smile knowing all is as should be. Have a great morning"
951,ham,"Awesome, lemme know whenever you're around"
1567,ham,I am late. I will be there at
4473,spam,3. You have received your mobile content. Enjoy
3902,ham,That depends. How would you like to be treated? :)
780,ham,That means get the door
3706,ham,Ok. Very good. Its all about making that money.
4149,spam,Please call Amanda with regard to renewing or upgrading your current T-Mobile handset free of charge. Offer ends today. Tel 0845 021 3680 subject to T's and C's
1076,ham,Oi. Ami parchi na re. Kicchu kaaj korte iccha korche na. Phone ta tul na. Plz. Plz.
1602,ham,Carlos is taking his sweet time as usual so let me know when you and patty are done/want to smoke and I'll tell him to haul ass
4326,ham,Am only searching for good dual sim mobile pa.
4160,ham,Now got tv 2 watch meh? U no work today?
2179,ham,"I don,t think so. You don't need to be going out that late on a school night. ESPECIALLY when the one class you have is the one you missed last wednesday and probably failed a test in on friday"
1672,ham,Glad to see your reply.
2436,ham,Oh ya ya. I remember da. .
1179,ham,"I'm outside islands, head towards hard rock and you'll run into me"
3923,ham,"Oh really? perform, write a paper, go to a movie AND be home by midnight, huh?"
1832,ham,Hello- thanx for taking that call. I got a job! Starts on monday!
4772,ham,Hi..i got the money da:)
2301,ham,Nothin comes to my mind. Ü help me buy hanger lor. Ur laptop not heavy?
2469,ham,Lol well don't do it without me. We could have a big sale together.
352,ham,If you're not in my car in an hour and a half I'm going apeshit
4563,ham,How much u trying to get?
459,ham,"1.20 that call cost. Which i guess isnt bad. Miss ya, need ya, want ya, love ya"
1469,spam,Hi its LUCY Hubby at meetins all day Fri & I will B alone at hotel U fancy cumin over? Pls leave msg 2day 09099726395 Lucy x Calls£1/minMobsmoreLKPOBOX177HP51FL
5302,ham,About  &lt;#&gt; bucks. The banks fees are fixed. Better to call the bank and find out.
349,spam,Fancy a shag? I do.Interested? sextextuk.com txt XXUK SUZY to 69876. Txts cost 1.50 per msg. TnCs on website. X
2014,spam,Great News! Call FREEFONE 08006344447 to claim your guaranteed £1000 CASH or £2000 gift. Speak to a live operator NOW!
3091,ham,Am going to take bath ill place the key in window:-)
2132,ham,S...from the training manual it show there is no tech process:)its all about password reset and troubleshooting:)
3523,ham,"Im sorry bout last nite it wasnt ur fault it was me, spouse it was pmt or sumthin! U 4give me? I think u shldxxxx"
5535,ham,"I know you are thinkin malaria. But relax, children cant handle malaria. She would have been worse and its gastroenteritis. If she takes enough to replace her loss her temp will reduce. And if you give her malaria meds now she will just vomit. Its a self limiting illness she has which means in a few days it will completely stop"
4281,spam,WINNER!! As a valued network customer you have been selected to receivea £900 prize reward! To claim call 09061701461. Claim code KL341. Valid 12 hours only.
3761,ham,We'll join the  &lt;#&gt;  bus
3894,ham,Have you heard from this week?
5240,ham,"Gud gud..k, chikku tke care.. sleep well gud nyt"
1108,ham,From someone not to smoke when every time I've smoked in the last two weeks is because of you calling or texting me that you wanted to smoke
4089,ham,He needs to stop going to bed and make with the fucking dealing
2962,ham,I'm doing da intro covers energy trends n pros n cons... Brief description of nuclear fusion n oso brief history of iter n jet got abt 7 n half pages..
669,ham,Have a good evening! Ttyl
1582,ham,Hhahhaahahah rofl wtf nig was leonardo in your room or something
5072,ham,As in different styles?
4886,ham,Poor girl can't go one day lmao
4434,ham,Can u look 4 me in da lib i got stuff havent finish yet.
3531,ham,"Tyler (getting an 8th) has to leave not long after 9, can you get here in like an hour?"
2413,spam,I don't know u and u don't know me. Send CHAT to 86688 now and let's find each other! Only 150p/Msg rcvd. HG/Suite342/2Lands/Row/W1J6HL LDN. 18 years or over.
5116,ham,Thanks. Fills me with complete calm and reassurance! 
1230,ham,Jus ans me lar. U'll noe later.
1781,spam,BIG BROTHER ALERT! The computer has selected u for 10k cash or #150 voucher. Call 09064018838. NTT PO Box CRO1327 18+ BT Landline Cost 150ppm mobiles vary
3521,ham,No it will reach by 9 only. She telling she will be there. I dont know
4269,ham,Hey so whats the plan this sat? 
4627,ham,Lol ... I knew that .... I saw him in the dollar store
496,ham,Got meh... When?
417,ham,Alright i have a new goal now
485,ham,You should change your fb to jaykwon thuglyfe falconerf
4648,ham,God created gap btwn ur fingers so dat sum1 vry special will fill those gaps by holding ur hands.. Now plz dont ask y he created so much gap between legs !!!
4963,ham,Yup ok...
4069,spam,TBS/PERSOLVO. been chasing us since Sept for£38 definitely not paying now thanks to your information. We will ignore them. Kath. Manchester.
4809,ham,What's up my own oga. Left my phone at home and just saw ur messages. Hope you are good. Have a great weekend.
4187,ham,"Hmm ok, i'll stay for like an hour cos my eye is really sore!"
563,ham,Geeeee ... I love you so much I can barely stand it
4061,spam,"This weeks SavaMob member offers are now accessible. Just call 08709501522 for details! SavaMob, POBOX 139, LA3 2WU. Only £1.50/week. SavaMob - offers mobile!"
3034,ham,"Aight, lemme know what's up"
4522,ham,Hi good mornin.. Thanku wish u d same..
4247,ham,Well welp is sort of a semiobscure internet thing
5236,ham,Your opinion about me? 1. Over 2. Jada 3. Kusruthi 4. Lovable 5. Silent 6. Spl character 7. Not matured 8. Stylish 9. Simple Pls reply..
282,ham,"Wen u miss someone, the person is definitely special for u..... But if the person is so special, why to miss them, just Keep-in-touch gdeve.."
1978,spam,Reply to win £100 weekly! Where will the 2006 FIFA World Cup be held? Send STOP to 87239 to end service
2282,ham,"I hav almost reached. Call, i m unable to connect u."
1376,ham,We're finally ready fyi
2136,ham,"Carlos took a while (again), we leave in a minute"
2104,ham,Its a site to simulate the test. It just gives you very tough questions to test your readiness.
5257,ham,"As usual..iam fine, happy &amp; doing well..:)"
1208,ham,I need you to be in my strong arms...
73,ham,K..k:)where are you?how did you performed?
2250,spam,"Thanks for your ringtone order, ref number R836. Your mobile will be charged £4.50. Should your tone not arrive please call customer services on 09065069154"
4734,ham,Good Morning my Dear Shijutta........... Have a great &amp; successful day.
1112,ham,"Awesome, think we can get an 8th at usf some time tonight?"
4782,ham,Yup... Hey then one day on fri we can ask miwa and jiayin take leave go karaoke 
2192,ham,Thankyou so much for the call. I appreciate your care.
937,ham,"Since when, which side, any fever, any vomitin."
3550,ham,"I got like $ &lt;#&gt; , I can get some more later though. Get whatever you feel like"
2844,ham,"Tunji, how's the queen? how are you doing. This is just wishing you a great day. Abiola."
3396,ham,Then i buy.
1651,ham,I dont have any of your file in my bag..i was in work when you called me.i 'll tell you if i find anything in my room.
2490,ham,I have 2 docs appointments next week.:/ I'm tired of them shoving stuff up me. Ugh why couldn't I have had a normal body?
2609,ham,Hello madam how are you ?
2359,ham,I'll talk to the others and probably just come early tomorrow then
2515,ham,Ok ill send you with in  &lt;DECIMAL&gt;  ok.
2926,ham,Are you coming to day for class.
1830,spam,"Hottest pics straight to your phone!! See me getting Wet and Wanting, just for you xx Text PICS to 89555 now! txt costs 150p textoperator g696ga 18 XxX"
3179,ham,K k :-):-) then watch some films.
5093,ham,Gokila is talking with you aha:)
278,ham,"Awesome, I'll see you in a bit"
4916,ham,We took hooch for a walk toaday and i fell over! Splat! Grazed my knees and everything! Should have stayed at home! See you tomorrow! 
4313,ham,I keep ten rs in my shelf:) buy two egg.
3925,ham,How? Izzit still raining?
4092,ham,"Hey doc pls I want to get nice t shirt for my hubby nice fiting ones my budget is  &lt;#&gt; k help pls I will load d card abi hw,keep me posted luv. 2 mj"
107,ham,"Aight, I'll hit you up when I get some cash"
4169,spam,Congrats! Nokia 3650 video camera phone is your Call 09066382422 Calls cost 150ppm Ave call 3mins vary from mobiles 16+ Close 300603 post BCM4284 Ldn WC1N3XX
403,ham,The hair cream has not been shipped.
3261,ham,I'm always looking for an excuse to be in the city.
1784,ham,No dear i do have free messages without any recharge. Hi hi hi
800,ham,Gimme a few was  &lt;#&gt;  minutes ago
5283,ham,"Yeah, probably here for a while"
5106,ham,Ding me on ya break fassyole! Blacko from londn
4806,ham,Sorry for the delay. Yes masters
3200,ham,No de.am seeing in online shop so that i asked.
4852,ham,Gain the rights of a wife.dont demand it.i am trying as husband too.Lets see
2051,ham,Hi where you. You in home or calicut?
263,ham,MY NO. IN LUTON 0125698789 RING ME IF UR AROUND! H*
4685,ham,"My life Means a lot to me, Not because I love my life, But because I love the people in my life, The world calls them friends, I call them my World:-).. Ge:-).."
2296,ham,HI DARLIN IM MISSIN U HOPE YOU ARE HAVING A GOOD TIME. WHEN ARE U BACK AND WHAT TIME IF U CAN GIVE ME A CALL AT HOME. JESS XX
887,ham,I like to talk pa but am not able to. I dont know y.
3283,ham,Hey you around? I've got enough for a half + the ten I owe you
5567,spam,"This is the 2nd time we have tried 2 contact u. U have won the £750 Pound prize. 2 claim is easy, call 087187272008 NOW1! Only 10p per minute. BT-national-rate."
5390,ham,Nt joking seriously i told
2314,ham,So what do you guys do.
1008,ham,I don't quite know what to do. I still can't get hold of anyone. I cud pick you up bout 7.30pm and we can see if they're in the pub?
1864,ham,I'll let you know when it kicks in
1956,ham,"Aight I'll grab something to eat too, text me when you're back at mu"
774,ham,I wil be there with in  &lt;#&gt;  minutes. Got any space
4882,ham,When/where do I pick you up
2858,ham,Today i'm not workin but not free oso... Gee... Thgt u workin at ur fren's shop ? 
4206,spam,IMPORTANT INFORMATION 4 ORANGE USER 0796XXXXXX. TODAY IS UR LUCKY DAY!2 FIND OUT WHY LOG ONTO http://www.urawinner.com THERE'S A FANTASTIC PRIZEAWAITING YOU!
4531,ham,Don't forget though that I love you .... And I walk beside you. Watching over you and keeping your heart warm.
5145,ham,Aiyar u so poor thing... I give u my support k... Jia you! I'll think of u...
3546,ham,Thank You meet you monday
1763,ham,Sometimes Heart Remembrs someone Very much... Forgets someone soon... Bcoz Heart will not like everyone. But liked ones will be Remembered Everytime... BSLVYL
3456,ham,No need lar. Jus testing e phone card. Dunno network not gd i thk. Me waiting 4 my sis 2 finish bathing so i can bathe. Dun disturb u liao u cleaning ur room.
581,ham,Huh so early.. Then ü having dinner outside izzit?
2420,spam,SMS SERVICES For your inclusive text credits pls gotto www.comuk.net login 3qxj9 unsubscribe with STOP no extra charge help 08702840625 comuk.220cm2 9AE
1033,ham,HAPPY NEW YEAR MY NO.1 MAN
4265,ham,She just broke down a list of reasons why nobody's in town and I can't tell if she's being sarcastic or just faggy
